Groupe,Pression,F,Mg/Si,Ca/Si,Al/Si,Temp
5,1.5,54.57,0.77764074,0.09615369,0.1644877,1700
5,1.5,34.53,0.39430407,0.15278419,0.22562767,1650
5,1.5,36.55,0.42722851,0.14374214,0.22331713,1600
5,1.5,26.27,0.45113181,0.20523967,0.30829539,1550
5,1.5,25.7,0.35260507,0.20217248,0.3240523,1500
5,1.5,23.5,0.27547032,0.20698627,0.34879772,1475
6,1.5,51.29,0.80260113,0.1173314,0.1965336,1550
6,1.5,42.5,0.73423617,0.13662273,0.21561811,1500
6,1.5,27.52,0.56000684,0.26123356,0.31222963,1475
6,1.5,24.72,0.49644038,0.22877177,0.32530291,1450
7,3.5,100.00,1.10871206,0.08513594,0.0994464,1817
7,3.5,67.73,0.93345855,0.06993117,0.11381216,1760
7,3.5,49.16,0.89896533,0.1172018,0.17940118,1600
7,3.5,20.54,0.72979623,0.31812458,0.2698314,1550
7,3.5,21.07,0.71895934,0.33102816,0.30672509,1500
8,5,100.00,1.11743464,0.06094776,0.10153993,1817
8,5,63.23,0.92576841,0.09516344,0.1545094,1761
8,5,38.82,0.83813998,0.13820916,0.21674766,1700
8,5,16.13,0.7967186,0.27877307,0.20775836,1650
8,5,8.29,0.73211099,0.37215015,0.19355715,1550
